id,rate_unemployment,percent_college,percent_married,median_income,percent_lunch,year,state,zip_code,school_type,school_level,average_act
551341001759,-0.5315280940886065,0.21338994429719743,0.4035201361182988,-0.05700127720717971,-0.8195094211909069,2016-2017,WI,53578,Regular School,High,23.7
120051000805,-0.20830865792365438,1.605636487081542,0.46401000917349344,-0.1558039264100063,0.5608177997539272,2016-2017,FL,32501,Regular School,High,25.7448107448107
370309001328,-0.23199756858346268,0.10483876113076834,-0.361536858607765,-0.3873452424759459,-0.5601542885836559,2016-2017,NC,28326,Regular School,High,22.8388278388278
482574005522,-0.27469323331664364,0.3079862492896896,0.42881341776320236,0.24654450437412778,0.7872737320450407,2016-2017,TX,77066,Regular School,High,18.7362637362637
120165001826,2.179852491836431,-0.5518511362215185,0.259147094125874,-0.8223356976270467,0.07488674858273049,2016-2017,FL,32570,Regular School,High,18.4920634920635
360015005825,0.3801057686396082,-1.6946543211101222,-1.373452107632193,-1.0433163587507324,1.5446463208214865,2016-2017,NY,11207,Regular School,Other,15.4884004884005
484188011997,-0.9551471966165986,1.1071111545431973,0.6061519385953723,0.5040491697447391,-1.5314672887981493,2016-2017,TX,75182,Regular School,High,21.1782661782662
370472001901,-0.8228380454473065,1.163042249722247,0.8813969711335181,0.35231802067322476,-0.8750861009950743,2016-2017,NC,27587,Regular School,High,21.1782661782662
120171003270,-0.6240322474999803,1.2510351068968466,0.8132756281597444,1.5010918731071032,-0.19836558077825836,2016-2017,FL,32708,Regular School,High,21.8620268620269
360009700827,0.3102720423041499,-0.5104958355639364,-0.33104188606653845,0.10157551380318706,1.979948700044919,2016-2017,NY,11221,Regular School,High,15.5616605616606
260252003971,-0.3173162590775577,0.14585052471130136,-0.4878296018879988,0.7668550334460472,-0.843803688106369,2016-2017,MI,48101,Regular School,High,20.6
220096000734,-0.29832331043331706,-1.3885059018945418,0.2469010762207582,-0.6364180805804098,-0.04675791704794786,2016-2017,LA,71465,Regular School,High,18.3
531011001689,0.21279257113141894,-1.3868038536633214,-0.49500534292713555,-0.7743744623359408,1.3518683256800996,2016-2017,WA,98902,Regular School,High,18.7606837606838
470282000993,1.118280538973748,-1.5894522373549602,-1.225569989457155,-1.2501465770861804,0.23694957730265218,2016-2017,TN,37303,Regular School,High,18.9
171323001567,0.6417122214891122,-0.10754106260993222,-1.4606820305562938,-0.36618219087229864,-0.0030006969533861523,2016-2017,IL,61611,Regular School,High,18.7
530078000155,-0.12226507408865962,-0.6837156757090239,-0.6121518988615332,-0.6024820629201234,-0.19486080127826047,2016-2017,WA,98233,Regular School,High,21.7887667887668
551059001384,-0.13302864986250407,-0.7893980029768833,0.38952202633984045,-0.1558039264100063,-0.9591554134123474,2016-2017,WI,54961,Regular School,High,21.6
370090002714,-0.2213456416026199,0.3647994557106639,0.2524347589375813,-0.45997583377840395,0.02198981815151308,2016-2017,NC,28086,Regular School,High,21.6422466422466
470360000032,-0.3704672379392671,-0.269776836840409,0.2847918115953023,0.1930733621566285,-0.32597214573586564,2016-2017,TN,37049,Regular School,Other,19.5
470318001815,0.8941531648865343,-0.7282313599024824,-0.9352639467253899,-1.5221773607172835,-0.5874953360908204,2016-2017,TN,37210,Regular School,High,20.4
261851005536,0.7507825142594697,-0.3729083410841385,-0.3176771289089501,-0.24133270892652156,0.32723127733006724,2016-2017,MI,49425,Regular School,High,18.7
172178002452,-0.942579106672861,2.1771184156021395,0.7687955393474343,3.4192073509982253,-1.623945237318363,2016-2017,IL,60045,Regular School,High,26.1
390503003908,-0.15070055828040999,0.3475516236774026,1.2743921639673892,0.1982493353299071,-0.76988522922836,2016-2017,OH,44656,Regular School,High,22.0
250420000568,-0.1656929113905739,0.7150879055680279,0.8729627075584144,1.384841185304031,-1.2892571014530223,2016-2017,MA,02764,Regular School,High,22.008547008547
130174000707,-0.8089351858754915,-0.7457431712317425,0.43556618920737183,-0.3506125296333234,1.9432863267711442,2016-2017,GA,30319,Regular School,High,18.003663003663
370294001179,1.3195562137169277,-0.5635827879353492,-0.9082448899673283,-0.8178275919599977,0.14702429772592324,2016-2017,NC,28752,Regular School,High,20.3968253968254
170032605634,-0.609991196073045,0.10144398803080688,0.5761306835532298,0.0615034634294171,-0.7849788803822481,2016-2017,IL,61738,Regular School,High,21.3
172335002571,-0.1976208094704798,1.0476768120601208,1.128476537469045,1.2763544572608767,-1.0918631993412684,2016-2017,IL,60441,Regular School,High,21.8
550960003342,0.05489776983237904,0.6418647879727547,1.2910155993449284,0.23974060415441475,0.6211192955073765,2016-2017,WI,53221,Regular School,High,19.6
341314005604,0.02047761857106915,0.5070663078198593,-0.4771675620042364,0.6783208471514992,1.6034427261001105,2016-2017,NJ,07060,Regular School,High,15.5128205128205
360010105834,2.029215840707955,0.5002890273196045,-1.1966604248603516,0.2941300641929796,0.8503351709510714,2016-2017,NY,11412,Regular School,Other,17.2466422466422
210063000120,-0.1285201034587162,0.07069314202730764,-0.9485326304065177,-0.9551578479284385,-0.504328327444814,2016-2017,KY,40422,Regular School,High,21.6
390475702919,-0.27168596929587746,-0.6029679098454865,0.06262212560689052,0.005945235254950614,0.6687205066603761,2016-2017,OH,43527,Regular School,Other,21.0
390506404016,-0.24535990769713648,-0.6080927486804901,0.18862957156512924,-0.3328722989991023,1.5388415770952177,2016-2017,OH,43554,Regular School,High,21.0
484122004720,-0.300658454494606,1.158561885720132,0.9175095403782444,1.5941759067878396,0.10224518669141766,2016-2017,TX,77373,Regular School,High,19.029304029304
